977808
com: 17127 	P(word|ham): 0.017516 	P(ham|word): 0.748740
to: 16144 	P(word|ham): 0.016510 	P(ham|word): 0.706105
the: 15251 	P(word|ham): 0.015597 	P(ham|word): 0.681905
from: 14129 	P(word|ham): 0.014450 	P(ham|word): 0.642155
2002: 14079 	P(word|ham): 0.014399 	P(ham|word): 0.578795
0: 13836 	P(word|ham): 0.014150 	P(ham|word): 0.623188
net: 13173 	P(word|ham): 0.013472 	P(ham|word): 0.609259
org: 11387 	P(word|ham): 0.011645 	P(ham|word): 0.379295
by: 11136 	P(word|ham): 0.011389 	P(ham|word): 0.618681
for: 10729 	P(word|ham): 0.010973 	P(ham|word): 0.682676
with: 10719 	P(word|ham): 0.010962 	P(ham|word): 0.628547
localhost: 10572 	P(word|ham): 0.010812 	P(ham|word): 0.459871
1: 10456 	P(word|ham): 0.010693 	P(ham|word): 0.652578
id: 10333 	P(word|ham): 0.010568 	P(ham|word): 0.590846
received: 9564 	P(word|ham): 0.009781 	P(ham|word): 0.589700
ie: 8861 	P(word|ham): 0.009062 	P(ham|word): 0.130425
list: 8685 	P(word|ham): 0.008882 	P(ham|word): 0.360595
8: 8425 	P(word|ham): 0.008616 	P(ham|word): 0.687085
linux: 8279 	P(word|ham): 0.008467 	P(ham|word): 0.099114
a: 8127 	P(word|ham): 0.008311 	P(ham|word): 0.820120
aug: 7921 	P(word|ham): 0.008101 	P(ham|word): 0.261347
11: 7632 	P(word|ham): 0.007805 	P(ham|word): 0.599239
of: 6930 	P(word|ham): 0.007087 	P(ham|word): 0.736793
fork: 6924 	P(word|ham): 0.007081 	P(ham|word): 0.342868
xent: 6856 	P(word|ham): 0.007012 	P(ham|word): 0.345643
and: 6511 	P(word|ham): 0.006659 	P(ham|word): 0.779899
x: 6407 	P(word|ham): 0.006552 	P(ham|word): 0.569054
ilug: 6260 	P(word|ham): 0.006402 	P(ham|word): 0.056123
esmtp: 6156 	P(word|ham): 0.006296 	P(ham|word): 0.527353
i: 5639 	P(word|ham): 0.005767 	P(ham|word): 0.662034
6: 5508 	P(word|ham): 0.005633 	P(ham|word): 0.646365
jul: 5463 	P(word|ham): 0.005587 	P(ham|word): 0.637242
admin: 5422 	P(word|ham): 0.005545 	P(ham|word): 0.225257
0100: 5374 	P(word|ham): 0.005496 	P(ham|word): 0.497911
http: 5325 	P(word|ham): 0.005446 	P(ham|word): 0.787465
in: 5165 	P(word|ham): 0.005282 	P(ham|word): 0.711581
9: 5098 	P(word|ham): 0.005214 	P(ham|word): 0.456543
