1339760
font: 34039 	P(word|spam): 0.025407 	P(spam|word): 0.997671
3d: 32576 	P(word|spam): 0.024315 	P(spam|word): 0.997762
com: 23310 	P(word|spam): 0.017399 	P(spam|word): 0.748740
to: 17715 	P(word|spam): 0.013223 	P(spam|word): 0.706105
a: 16923 	P(word|spam): 0.012631 	P(spam|word): 0.820120
br: 16912 	P(word|spam): 0.012623 	P(spam|word): 0.997387
td: 15691 	P(word|spam): 0.011712 	P(spam|word): 0.999215
the: 14932 	P(word|spam): 0.011145 	P(spam|word): 0.681905
size: 12829 	P(word|spam): 0.009576 	P(spam|word): 0.994970
b: 11744 	P(word|spam): 0.008766 	P(spam|word): 0.984004
from: 11580 	P(word|spam): 0.008643 	P(spam|word): 0.642155
for: 10542 	P(word|spam): 0.007869 	P(spam|word): 0.682676
and: 10537 	P(word|spam): 0.007865 	P(spam|word): 0.779899
0: 10451 	P(word|spam): 0.007801 	P(spam|word): 0.623188
nbsp: 10291 	P(word|spam): 0.007681 	P(spam|word): 0.997521
you: 10254 	P(word|spam): 0.007654 	P(spam|word): 0.885817
p: 9707 	P(word|spam): 0.007245 	P(spam|word): 0.987915
tr: 9456 	P(word|spam): 0.007058 	P(spam|word): 0.998939
color: 9402 	P(word|spam): 0.007018 	P(spam|word): 0.999223
net: 9381 	P(word|spam): 0.007002 	P(spam|word): 0.609259
face: 9220 	P(word|spam): 0.006882 	P(spam|word): 0.994728
http: 9011 	P(word|spam): 0.006726 	P(spam|word): 0.787465
1: 8970 	P(word|spam): 0.006695 	P(spam|word): 0.652578
of: 8860 	P(word|spam): 0.006613 	P(spam|word): 0.736793
2002: 8836 	P(word|spam): 0.006595 	P(spam|word): 0.578795
8: 8449 	P(word|spam): 0.006306 	P(spam|word): 0.687085
with: 8284 	P(word|spam): 0.006183 	P(spam|word): 0.628547
by: 8252 	P(word|spam): 0.006159 	P(spam|word): 0.618681
width: 8100 	P(word|spam): 0.006046 	P(spam|word): 0.997469
2: 6936 	P(word|spam): 0.005177 	P(spam|word): 0.830067
your: 6864 	P(word|spam): 0.005123 	P(spam|word): 0.945993
id: 6815 	P(word|spam): 0.005087 	P(spam|word): 0.590846
align: 6476 	P(word|spam): 0.004834 	P(spam|word): 0.999577
received: 6278 	P(word|spam): 0.004686 	P(spam|word): 0.589700
20: 6196 	P(word|spam): 0.004625 	P(spam|word): 0.867116
arial: 5952 	P(word|spam): 0.004443 	P(spam|word): 0.999233
in: 5820 	P(word|spam): 0.004344 	P(spam|word): 0.711581
11: 5212 	P(word|spam): 0.003890 	P(spam|word): 0.599239
is: 5088 	P(word|spam): 0.003798 	P(spam|word): 0.695386
i: 5045 	P(word|spam): 0.003766 	P(spam|word): 0.662034
this: 4986 	P(word|spam): 0.003722 	P(spam|word): 0.806038
www: 4969 	P(word|spam): 0.003709 	P(spam|word): 0.843211
5: 4654 	P(word|spam): 0.003474 	P(spam|word): 0.777981
center: 4600 	P(word|spam): 0.003433 	P(spam|word): 0.994471
6: 4598 	P(word|spam): 0.003432 	P(spam|word): 0.646365
jul: 4383 	P(word|spam): 0.003271 	P(spam|word): 0.637242
href: 4171 	P(word|spam): 0.003113 	P(spam|word): 0.991424
localhost: 4111 	P(word|spam): 0.003068 	P(spam|word): 0.459871
3: 4064 	P(word|spam): 0.003033 	P(spam|word): 0.653837
table: 4021 	P(word|spam): 0.003001 	P(spam|word): 0.996604
netnoteinc: 3921 	P(word|spam): 0.002927 	P(spam|word): 0.745228
height: 3919 	P(word|spam): 0.002925 	P(spam|word): 0.996053
content: 3914 	P(word|spam): 0.002921 	P(spam|word): 0.767366
22: 3877 	P(word|spam): 0.002894 	P(spam|word): 0.777162
x: 3864 	P(word|spam): 0.002884 	P(spam|word): 0.569054
html: 3758 	P(word|spam): 0.002805 	P(spam|word): 0.957525
border: 3508 	P(word|spam): 0.002618 	P(spam|word): 0.994175
be: 3452 	P(word|spam): 0.002577 	P(spam|word): 0.719130
3e: 3437 	P(word|spam): 0.002565 	P(spam|word): 0.999469
helvetica: 3318 	P(word|spam): 0.002477 	P(spam|word): 0.900000
jm: 3305 	P(word|spam): 0.002467 	P(spam|word): 0.621554
on: 3225 	P(word|spam): 0.002407 	P(spam|word): 0.687341
it: 3215 	P(word|spam): 0.002400 	P(spam|word): 0.612416
org: 3178 	P(word|spam): 0.002372 	P(spam|word): 0.379295
esmtp: 3137 	P(word|spam): 0.002341 	P(spam|word): 0.527353
or: 3133 	P(word|spam): 0.002338 	P(spam|word): 0.806863
type: 3129 	P(word|spam): 0.002335 	P(spam|word): 0.823833
div: 3118 	P(word|spam): 0.002327 	P(spam|word): 0.973200
verdana: 3039 	P(word|spam): 0.002268 	P(spam|word): 0.900000
text: 3022 	P(word|spam): 0.002256 	P(spam|word): 0.825365
mail: 2984 	P(word|spam): 0.002227 	P(spam|word): 0.765182
are: 2963 	P(word|spam): 0.002212 	P(spam|word): 0.780170
that: 2936 	P(word|spam): 0.002191 	P(spam|word): 0.591695
sans: 2916 	P(word|spam): 0.002177 	P(spam|word): 0.900000
serif: 2904 	P(word|spam): 0.002168 	P(spam|word): 0.999843
we: 2897 	P(word|spam): 0.002162 	P(spam|word): 0.872850
style: 2884 	P(word|spam): 0.002153 	P(spam|word): 0.987953
email: 2833 	P(word|spam): 0.002115 	P(spam|word): 0.912607
s: 2648 	P(word|spam): 0.001976 	P(spam|word): 0.674494
4: 2624 	P(word|spam): 0.001959 	P(spam|word): 0.810304
name: 2603 	P(word|spam): 0.001943 	P(spam|word): 0.962833
our: 2602 	P(word|spam): 0.001942 	P(spam|word): 0.957480
will: 2599 	P(word|spam): 0.001940 	P(spam|word): 0.857069
12: 2580 	P(word|spam): 0.001926 	P(spam|word): 0.719433
subject: 2532 	P(word|spam): 0.001890 	P(spam|word): 0.575993
bgcolor: 2531 	P(word|spam): 0.001889 	P(spam|word): 0.997660
0100: 2434 	P(word|spam): 0.001817 	P(spam|word): 0.497911
may: 2434 	P(word|spam): 0.001817 	P(spam|word): 0.920384
have: 2370 	P(word|spam): 0.001769 	P(spam|word): 0.730954
10: 2315 	P(word|spam): 0.001728 	P(spam|word): 0.656254
ffffff: 2298 	P(word|spam): 0.001715 	P(spam|word): 0.998214
src: 2275 	P(word|spam): 0.001698 	P(spam|word): 0.983610
img: 2267 	P(word|spam): 0.001692 	P(spam|word): 0.992006
free: 2263 	P(word|spam): 0.001689 	P(spam|word): 0.963070
list: 2237 	P(word|spam): 0.001670 	P(spam|word): 0.360595
00: 2143 	P(word|spam): 0.001600 	P(spam|word): 0.701981
message: 2128 	P(word|spam): 0.001588 	P(spam|word): 0.680159
not: 2094 	P(word|spam): 0.001563 	P(spam|word): 0.724093
if: 2093 	P(word|spam): 0.001562 	P(spam|word): 0.749945
span: 2082 	P(word|spam): 0.001554 	P(spam|word): 0.998467
date: 2064 	P(word|spam): 0.001541 	P(spam|word): 0.698786
mon: 1981 	P(word|spam): 0.001479 	P(spam|word): 0.649371
9: 1956 	P(word|spam): 0.001460 	P(spam|word): 0.456543
all: 1950 	P(word|spam): 0.001455 	P(spam|word): 0.811463
us: 1943 	P(word|spam): 0.001450 	P(spam|word): 0.778417
no: 1928 	P(word|spam): 0.001439 	P(spam|word): 0.847092
as: 1923 	P(word|spam): 0.001435 	P(spam|word): 0.696926
version: 1907 	P(word|spam): 0.001423 	P(spam|word): 0.572647
can: 1892 	P(word|spam): 0.001412 	P(spam|word): 0.745795
e: 1836 	P(word|spam): 0.001370 	P(spam|word): 0.904793
3c: 1835 	P(word|spam): 0.001370 	P(spam|word): 0.900000
17: 1816 	P(word|spam): 0.001355 	P(spam|word): 0.677005
24: 1813 	P(word|spam): 0.001353 	P(spam|word): 0.741620
000000: 1789 	P(word|spam): 0.001335 	P(spam|word): 0.999490
labs: 1784 	P(word|spam): 0.001332 	P(spam|word): 0.717492
at: 1783 	P(word|spam): 0.001331 	P(spam|word): 0.699887
50: 1771 	P(word|spam): 0.001322 	P(spam|word): 0.870081
click: 1752 	P(word|spam): 0.001308 	P(spam|word): 0.993011
cc: 1728 	P(word|spam): 0.001290 	P(spam|word): 0.887416
body: 1719 	P(word|spam): 0.001283 	P(spam|word): 0.976900
30: 1704 	P(word|spam): 0.001272 	P(spam|word): 0.801329
pro: 1699 	P(word|spam): 0.001268 	P(spam|word): 0.990152
t: 1697 	P(word|spam): 0.001267 	P(spam|word): 0.667841
ns: 1693 	P(word|spam): 0.001264 	P(spam|word): 0.995970
100: 1690 	P(word|spam): 0.001261 	P(spam|word): 0.955829
here: 1684 	P(word|spam): 0.001257 	P(spam|word): 0.919913
gif: 1683 	P(word|spam): 0.001256 	P(spam|word): 0.972809
li: 1678 	P(word|spam): 0.001252 	P(spam|word): 0.997556
xent: 1654 	P(word|spam): 0.001235 	P(spam|word): 0.345643
fork: 1650 	P(word|spam): 0.001232 	P(spam|word): 0.342868
15: 1599 	P(word|spam): 0.001193 	P(spam|word): 0.631268
value: 1581 	P(word|spam): 0.001180 	P(spam|word): 0.976034
smtp: 1556 	P(word|spam): 0.001161 	P(spam|word): 0.782853
business: 1536 	P(word|spam): 0.001146 	P(spam|word): 0.957303
tue: 1530 	P(word|spam): 0.001142 	P(spam|word): 0.549989
charset: 1523 	P(word|spam): 0.001137 	P(spam|word): 0.736182
cellspacing: 1517 	P(word|spam): 0.001132 	P(spam|word): 0.998797
strong: 1508 	P(word|spam): 0.001126 	P(spam|word): 0.989511
21: 1481 	P(word|spam): 0.001105 	P(spam|word): 0.617808
